heat_level,n_pairs,mean_diff_heat_minus_control,sd_diff,se_diff,t_stat,p_value,cultivar
A,6,8.168373294924455,639.7514174987773,261.17742251570894,0.03127518916545382,0.976260101929666,
B,6,-54.569416314412216,199.4286030481113,81.41638626398779,-0.6702510246214335,0.532404229275772,
C,6,-84.88029749033744,318.89546660127496,130.18852907664643,-0.6519798487036098,0.5431922642338567,
D,6,-150.90452225502122,189.09259255925792,77.19672765169683,-1.9548046509935741,0.1080037616224902,
A,3,-335.4205014236225,658.3375826270391,380.09138054736854,-0.8824733171812115,0.47060951720126454,MQ
B,3,-129.54586712131808,87.68374330270456,50.624232799370525,-2.558969488677938,0.12476515606984913,MQ
C,3,14.932474591937384,451.7854961264962,260.8384778046012,0.0572479747528797,0.9595526950755591,MQ
D,3,-191.49620294217152,279.3828327100295,161.3017536720957,-1.1871923186368882,0.35704516137440456,MQ
A,3,351.7572480134715,485.42391091596573,280.25962563841375,1.2551121026162462,0.336217368046126,St
B,3,20.407034492493647,273.6358454550997,157.98372903343264,0.12917174836514395,0.9090404156380234,St
C,3,-184.69306957261225,142.25995088078554,82.13382093592448,-2.248684737517544,0.15349146034490715,St
D,3,-110.31284156787092,79.95123867615038,46.15986917171944,-2.3897997015003627,0.13939842822214604,St
