Date,Sample ID,Tube#,concentration_rep1,concentration_rep2,concentration_rep3,experiment,cultivar,plot_id,set_id,treatment_raw,heat_level,is_control,replicate,mean_concentration
2025-01-06,STB3,1,1511.2927651397972,1288.65882939911,1308.4661634142387,acute,St,,,B,B,0,3.0,1369.472585984382
2025-01-06,MQBC2,2,2214.652098158312,1308.1792385169497,2353.448657911454,acute,MQ,,,BC,B,1,2.0,1958.7599981955718
2025-01-06,MQLT16,3,1888.4564654540732,2596.5262402943663,1641.380940422201,longterm,MQ,16.0,14.0,Control,,1,,2042.1212153902136
2025-01-06,STA0C1,4,991.4184755174169,1015.3731017493549,2205.4865347968043,acute,St,,,A0C,A0,1,1.0,1404.092704021192
2025-01-06,MQA03,5,1409.3566299197228,1776.6690573451015,2048.276778987489,acute,MQ,,,A0,A0,0,3.0,1744.767488750771
2025-01-06,MQAC1,6,1970.0053736301331,2147.556830584055,1752.3525327581888,acute,MQ,,,AC,A,1,1.0,1956.6382456574593
2025-01-06,MQCC1,7,1654.0033544479015,1425.3016932239875,1576.6475115595415,acute,MQ,,,CC,C,1,1.0,1551.9841864104767
2025-01-07,STD1,8,1187.8451178451196,1658.436983696501,1627.6170788193429,acute,St,,,D,D,0,1.0,1491.2997267869878
2025-01-07,MQLT9,9,1746.3973063973083,1473.0509055768587,1705.457201921135,longterm,MQ,9.0,11.0,OTC,,0,,1641.6351379651005
2025-01-07,STLT6,10,1303.7710437710452,1531.5938776146404,1637.3470942070667,longterm,St,6.0,8.0,Control,,1,,1490.9040051975842
2025-01-07,MQC2,11,1145.6902356902374,1316.9363134761074,1481.6668480034828,acute,MQ,,,C,C,0,2.0,1314.7644657232759
2025-01-07,STLT5,12,1535.6228956228972,1473.0509055768587,1510.8568941666547,longterm,St,5.0,7.0,Control,,1,,1506.5102317888034
2025-01-07,STAC1,13,1525.0841750841766,1668.1941457027979,1666.5371403702388,acute,St,,,AC,A,1,1.0,1619.9384870524045
2025-01-07,STLT1,14,977.0707070707085,994.949967268308,1180.036370984038,longterm,St,1.0,7.0,OTC,,0,,1050.6856817743517
2025-01-07,STDC1,15,1377.5420875420891,1570.6225256398282,1608.1570480438947,acute,St,,,DC,D,1,1.0,1518.7738870752707
2025-01-07,STLT3,16,1272.1548821548838,1190.0932073942472,1345.4466325753465,longterm,St,3.0,9.0,OTC,,0,,1269.2315740414924
2025-01-07,MQA0C1,17,1335.387205387207,1502.3223915957497,1549.7769557175504,acute,MQ,,,A0C,A0,1,1.0,1462.4955175668356
2025-01-07,MQA02,18,1493.4680134680152,1814.5515757972523,1900.0575096756152,acute,MQ,,,A0,A0,0,2.0,1736.025699646961
2025-01-07,MQLT11,19,2199.5622895622914,2068.237787960973,2172.4979405318877,longterm,MQ,11.0,13.0,OTC,,0,,2146.7660060183844
2025-01-07,MQB1,20,1619.9326599326616,1785.2800897783616,1705.457201921135,acute,MQ,,,B,B,0,1.0,1703.556650544053
2025-01-07,MQCC3,21,1662.0875420875439,1746.2514417531736,1724.9172326965831,acute,MQ,,,CC,C,1,3.0,1711.0854055124335
2025-01-08,STBC3,22,1342.8333813133754,1351.1281986638105,1327.082842559876,acute,St,,,BC,B,1,3.0,1340.3481408456873
2025-01-08,STA1,23,1432.9398970028483,1607.5885541409316,1484.381625441698,acute,St,,,A,A,0,1.0,1508.3033588618262
2025-01-08,MQA0C3,24,1773.3422896075251,1518.8138157065437,1897.29093050648,acute,MQ,,,A0C,A0,1,3.0,1729.8156786068496
2025-01-08,STCC3,25,1412.916226849632,1469.494516576328,1553.199842952495,acute,St,,,CC,C,1,3.0,1478.5368621261516
2025-01-08,MQLT14,26,1663.2121037648355,1716.0910122274058,2103.7455830388712,longterm,MQ,14.0,12.0,Control,,1,,1827.6828996770375
2025-01-08,STC1,27,1543.070082845538,1331.4004790117244,1582.6933647428364,acute,St,,,C,C,0,1.0,1485.7213088666995
2025-01-08,STD3,28,1062.5019991683475,1222.89802092525,1258.264625049079,acute,St,,,D,D,0,3.0,1181.2215483808923
2025-01-08,STLT4,29,1603.1410933051868,1864.0489096180524,1700.6674519042028,longterm,St,4.0,10.0,OTC,,0,,1722.6191516091474
2025-01-08,MQD3,30,1533.05824776893,1390.583637967983,1425.3945818610146,acute,MQ,,,D,D,0,3.0,1449.6788225326425
2025-01-08,STLT8,31,1723.2831142244843,1735.818731879492,1739.9921476246582,longterm,St,8.0,10.0,Control,,1,,1733.0313312428782
2025-01-08,STAC3,32,1002.4309887086987,1005.8931047523015,1061.641146446802,acute,St,,,AC,A,1,3.0,1023.3217466359341
2025-01-08,MQLT15,33,1493.0109074624975,1548.405395184673,1887.459756576366,longterm,MQ,15.0,13.0,Control,,1,,1642.9586864078456
