cultivar,test,heat_level,date,treatment,replicate,file_stem,channel_var,window_start,window_end,n_points,mean_temp_c,max_temp_c,pct_points_ge_40
MQ,B1,B,2024-08-07,Control,1,Set4_Acute20240807,1_Canopy,2024-08-07 10:02:00,2024-08-07 12:02:00,121,19.29223140495868,21.4,0.0
MQ,B1,B,2024-08-07,Control,3,Set6_Acute20240807a,1_Canopy,2024-08-07 10:02:00,2024-08-07 12:02:00,121,19.5499173553719,21.79,0.0
MQ,B1,B,2024-08-07,OTC,1,Set1_Acute20240807,1_Canopy,2024-08-07 10:02:00,2024-08-07 12:02:00,120,34.46691666666666,41.62,0.05
MQ,B1,B,2024-08-07,OTC,2,Set2_Acute20240807a,1_Canopy,2024-08-07 10:02:00,2024-08-07 12:02:00,121,38.62818181818183,46.37,0.35537190082644626
MQ,B1,B,2024-08-07,OTC,3,Set3_Acute20240807,1_Canopy,2024-08-07 10:02:00,2024-08-07 12:02:00,121,42.151074380165284,50.2,0.8016528925619835
St,B1,B,2024-08-07,Control,1,Set4_Acute20240807,1_Canopy,2024-08-07 13:37:00,2024-08-07 15:40:00,124,23.622741935483866,27.67,0.0
St,B1,B,2024-08-07,Control,3,Set6_Acute20240807a,1_Canopy,2024-08-07 13:37:00,2024-08-07 15:40:00,124,25.949435483870968,30.43,0.0
St,B1,B,2024-08-07,OTC,1,Set1_Acute20240807,1_Canopy,2024-08-07 13:37:00,2024-08-07 15:40:00,123,31.152926829268292,45.52,0.21951219512195122
St,B1,B,2024-08-07,OTC,2,Set2_Acute20240807a,1_Canopy,2024-08-07 13:37:00,2024-08-07 15:40:00,124,46.03975806451613,52.6,0.9112903225806451
St,B1,B,2024-08-07,OTC,3,Set3_Acute20240807,1_Canopy,2024-08-07 13:37:00,2024-08-07 15:40:00,124,40.235,48.36,0.5887096774193549
MQ,C1,C,2024-08-14,Control,1,Set4_Acute20240814,1_Canopy,2024-08-14 13:23:00,2024-08-14 15:30:00,128,24.549453125,31.52,0.0
MQ,C1,C,2024-08-14,Control,2,Set5_Acute20240814,1_Canopy,2024-08-14 13:23:00,2024-08-14 15:30:00,127,23.97,29.35,0.0
MQ,C1,C,2024-08-14,Control,3,Set6_Acute20240814,1_Canopy,2024-08-14 13:23:00,2024-08-14 15:30:00,127,24.93188976377953,29.4,0.0
MQ,C1,C,2024-08-14,OTC,1,Set1_Acute20240814,1_Canopy,2024-08-14 13:23:00,2024-08-14 15:30:00,127,38.76960629921261,42.77,0.36220472440944884
MQ,C1,C,2024-08-14,OTC,2,Set2_Acute20240814,1_Canopy,2024-08-14 13:23:00,2024-08-14 15:30:00,127,39.66968503937008,42.8,0.5669291338582677
MQ,C1,C,2024-08-14,OTC,3,Set3_Acute20240814,1_Canopy,2024-08-14 13:23:00,2024-08-14 15:30:00,127,38.3275590551181,41.64,0.18110236220472442
St,C1,C,2024-08-14,Control,1,Set4_Acute20240814,1_Canopy,2024-08-14 09:51:00,2024-08-14 11:51:00,121,21.115371900826446,23.41,0.0
St,C1,C,2024-08-14,Control,2,Set5_Acute20240814,1_Canopy,2024-08-14 09:51:00,2024-08-14 11:51:00,120,22.209333333333333,23.88,0.0
St,C1,C,2024-08-14,Control,3,Set6_Acute20240814,1_Canopy,2024-08-14 09:51:00,2024-08-14 11:51:00,120,22.218500000000002,24.1,0.0
St,C1,C,2024-08-14,OTC,1,Set1_Acute20240814,1_Canopy,2024-08-14 09:51:00,2024-08-14 11:51:00,120,38.319083333333325,45.34,0.325
St,C1,C,2024-08-14,OTC,2,Set2_Acute20240814,1_Canopy,2024-08-14 09:51:00,2024-08-14 11:51:00,120,44.95041666666667,52.46,0.8583333333333333
St,C1,C,2024-08-14,OTC,3,Set3_Acute20240814,1_Canopy,2024-08-14 09:51:00,2024-08-14 11:51:00,120,36.959250000000004,45.1,0.175
MQ,B2,B,2024-08-21,Control,1,Set4_Acute20240821,1_Canopy,2024-08-21 10:10:00,2024-08-21 12:10:00,121,19.304462809917357,22.14,0.0
MQ,B2,B,2024-08-21,Control,2,Set5_Acute20240821,1_Canopy,2024-08-21 10:10:00,2024-08-21 12:10:00,121,18.891404958677686,20.85,0.0
MQ,B2,B,2024-08-21,Control,3,Set6_Acute20240821,1_Canopy,2024-08-21 10:10:00,2024-08-21 12:10:00,121,18.60396694214876,20.84,0.0
MQ,B2,B,2024-08-21,OTC,1,Set1_Acute20240821,1_Canopy,2024-08-21 10:10:00,2024-08-21 12:10:00,121,37.57454545454545,45.75,0.3140495867768595
