experiment,source_row,cultivar,heat_trt,is_control,set_id,plot_id,paired_plot_id,rotten_count,rotten_weight_g,healthy_count,healthy_weight_g,total_count,total_weight_g,pct_rotten_count,pct_rotten_weight
longterm,20,MQ,OTC,0,11,9,13,21,21.74,463,965.46,484,987.2,0.04338842975206612,0.02202188006482982
longterm,13,MQ,OTC,0,12,10,14,11,13.79,448,887.56,459,901.35,0.023965141612200435,0.01529927331225384
longterm,18,MQ,OTC,0,13,11,15,29,45.15,364,693.62,393,738.77,0.0737913486005089,0.061115096714809754
longterm,19,MQ,OTC,0,14,12,16,23,14.44,402,793.71,425,808.15,0.05411764705882353,0.017867970055064034
longterm,16,MQ,Control,1,11,13,9,35,54.15,449,922.96,484,977.11,0.07231404958677685,0.055418530155253755
longterm,17,MQ,Control,1,12,14,10,46,72.23,428,853.13,474,925.36,0.0970464135021097,0.0780561078931443
longterm,14,MQ,Control,1,13,15,11,55,60.16,474,911.06,529,971.22,0.10396975425330812,0.06194271122917567
longterm,15,MQ,Control,1,14,16,12,32,27.07,598,1156.85,630,1183.92,0.050793650793650794,0.022864720589229
longterm,10,St,OTC,0,7,1,5,33,18.72,393,766.51,426,785.23,0.07746478873239436,0.023840148746227217
longterm,5,St,OTC,0,8,2,6,8,1.47,324,584.99,332,586.46,0.024096385542168676,0.00250656481260444
longterm,8,St,OTC,0,9,3,7,30,7.46,386,707.63,416,715.09,0.07211538461538461,0.010432253282803563
longterm,11,St,OTC,0,10,4,8,22,11.23,402,676.43,424,687.66,0.05188679245283019,0.016330744844836112
longterm,12,St,Control,1,7,5,1,46,10.5,311,576.22,357,586.72,0.12885154061624648,0.017896100354513226
longterm,9,St,Control,1,8,6,2,55,26.4,375,701.09,430,727.49,0.12790697674418605,0.03628915861386411
longterm,6,St,Control,1,9,7,3,43,7.65,424,747.76,467,755.41,0.09207708779443255,0.010126950927310998
longterm,7,St,Control,1,10,8,4,25,5.68,358,700.15,383,705.83,0.06527415143603134,0.008047263505376647
