stress_type,sensor,overview_file_ref,resolution_status,resolved_file_stem
Acute,4 channel,Set1_Acute2024071112,exact,Set1_Acute2024071112
Acute,4 channel,Set1_Acute20240722,exact,Set1_Acute20240722
Acute,4 channel,Set1_Acute20240725,exact,Set1_Acute20240725
Acute,4 channel,Set1_Acute20240731,exact,Set1_Acute20240731
Acute,4 channel,Set1_Acute20240807,exact,Set1_Acute20240807
Acute,4 channel,Set1_Acute20240814,exact,Set1_Acute20240814
Acute,4 channel,Set1_Acute20240821,exact,Set1_Acute20240821
Acute,4 channel,Set1_Acute20240828,exact,Set1_Acute20240828
Acute,4 channel,Set1_Acute20240904,exact,Set1_Acute20240904
Acute,4 channel,Set1_Acute20240912,exact,Set1_Acute20240912
Acute,4 channel,Set1_Acute20240918,unresolved,
Acute,4 channel,Set1_Acute20240924,exact,Set1_Acute20240924
Acute,4 channel,Set2_Acute2024071112,exact,Set2_Acute2024071112
Acute,4 channel,Set2_Acute20240722,exact,Set2_Acute20240722
Acute,4 channel,Set2_Acute20240725,exact,Set2_Acute20240725
Acute,4 channel,Set2_Acute20240731,exact,Set2_Acute20240731
Acute,4 channel,Set2_Acute20240807,alias,Set2_Acute20240807a
Acute,4 channel,Set2_Acute20240814,exact,Set2_Acute20240814
Acute,4 channel,Set2_Acute20240821,exact,Set2_Acute20240821
Acute,4 channel,Set2_Acute20240828,exact,Set2_Acute20240828
Acute,4 channel,Set2_Acute20240904,exact,Set2_Acute20240904
Acute,4 channel,Set2_Acute20240912,exact,Set2_Acute20240912
Acute,4 channel,Set2_Acute20240918,exact,Set2_Acute20240918
Acute,4 channel,Set2_Acute20240924,exact,Set2_Acute20240924
Acute,4 channel,Set3_Acute2024071112,exact,Set3_Acute2024071112
Acute,4 channel,Set3_Acute20240722,exact,Set3_Acute20240722
Acute,4 channel,Set3_Acute20240725,exact,Set3_Acute20240725
Acute,4 channel,Set3_Acute20240731,exact,Set3_Acute20240731
Acute,4 channel,Set3_Acute20240807,exact,Set3_Acute20240807
Acute,4 channel,Set3_Acute20240814,exact,Set3_Acute20240814
Acute,4 channel,Set3_Acute20240821,exact,Set3_Acute20240821
Acute,4 channel,Set3_Acute20240828,exact,Set3_Acute20240828
Acute,4 channel,Set3_Acute20240904,exact,Set3_Acute20240904
Acute,4 channel,Set3_Acute20240912,exact,Set3_Acute20240912
Acute,4 channel,Set3_Acute20240918,exact,Set3_Acute20240918
Acute,4 channel,Set3_Acute20240924,exact,Set3_Acute20240924
Acute,4 channel,Set4_Acute2024071112,exact,Set4_Acute2024071112
Acute,4 channel,Set4_Acute20240722,exact,Set4_Acute20240722
Acute,4 channel,Set4_Acute20240725,exact,Set4_Acute20240725
Acute,4 channel,Set4_Acute20240731,exact,Set4_Acute20240731
Acute,4 channel,Set4_Acute20240807,exact,Set4_Acute20240807
Acute,4 channel,Set4_Acute20240814,exact,Set4_Acute20240814
Acute,4 channel,Set4_Acute20240821,exact,Set4_Acute20240821
Acute,4 channel,Set4_Acute20240828,exact,Set4_Acute20240828
Acute,4 channel,Set4_Acute20240904,exact,Set4_Acute20240904
Acute,4 channel,Set4_Acute20240912,exact,Set4_Acute20240912
Acute,4 channel,Set4_Acute20240918,exact,Set4_Acute20240918
Acute,4 channel,Set4_Acute20240924,exact,set4_Acute20240924
Acute,4 channel,Set5_Acute2024071112,exact,Set5_Acute2024071112
Acute,4 channel,Set5_Acute20240722,exact,Set5_Acute20240722
Acute,4 channel,Set5_Acute20240725,exact,Set5_Acute20240725
Acute,4 channel,Set5_Acute20240731,exact,Set5_Acute20240731
Acute,4 channel,Set5_Acute20240807,unresolved,
Acute,4 channel,Set5_Acute20240814,exact,Set5_Acute20240814
Acute,4 channel,Set5_Acute20240821,exact,Set5_Acute20240821
Acute,4 channel,Set5_Acute20240828,exact,Set5_Acute20240828
Acute,4 channel,Set5_Acute20240904,exact,Set5_Acute20240904
