experiment,cultivar,treatment_raw,replicate,source_row,missing_overview,missing_files,missing_window,temp_model_usable
acute,MQ,A,1,11,0,1,1,0
acute,MQ,A,2,9,0,1,1,0
acute,MQ,A,3,10,0,1,0,0
acute,MQ,A0,1,7,0,0,0,1
acute,MQ,A0,2,6,0,0,0,1
acute,MQ,A0,3,8,0,0,0,1
acute,MQ,A0C,1,22,0,0,0,1
acute,MQ,A0C,2,23,0,0,0,1
acute,MQ,A0C,3,21,0,0,0,1
acute,MQ,AC,1,26,0,1,0,0
acute,MQ,AC,2,25,0,1,0,0
acute,MQ,AC,3,24,0,1,0,0
acute,MQ,B,1,13,0,0,1,0
acute,MQ,B,2,14,0,0,1,0
acute,MQ,B,3,12,0,0,1,0
acute,MQ,BC,1,29,0,0,1,0
acute,MQ,BC,2,27,1,1,1,0
acute,MQ,BC,3,28,0,0,1,0
acute,MQ,C,1,17,0,0,0,1
acute,MQ,C,2,16,0,0,0,1
acute,MQ,C,3,15,0,0,0,1
acute,MQ,CC,1,31,0,0,0,1
acute,MQ,CC,2,30,0,0,0,1
acute,MQ,CC,3,32,0,0,0,1
acute,MQ,D,1,18,0,1,0,0
acute,MQ,D,2,20,0,1,0,0
acute,MQ,D,3,19,0,1,0,0
acute,MQ,DC,1,33,0,1,0,0
acute,MQ,DC,2,35,0,1,0,0
acute,MQ,DC,3,34,0,1,0,0
acute,St,A,1,41,0,1,1,0
acute,St,A,2,40,0,1,1,0
acute,St,A,3,39,0,1,1,0
acute,St,A0,1,37,0,0,0,1
acute,St,A0,2,36,0,0,0,1
acute,St,A0,3,38,0,0,0,1
acute,St,A0C,1,50,0,0,0,1
acute,St,A0C,2,51,0,0,0,1
acute,St,A0C,3,52,0,0,0,1
acute,St,AC,1,54,0,1,1,0
acute,St,AC,2,53,0,1,1,0
acute,St,AC,3,55,0,1,1,0
acute,St,B,1,65,0,0,1,0
acute,St,B,2,43,0,0,1,0
acute,St,B,3,42,0,0,1,0
acute,St,BC,1,56,0,0,1,0
acute,St,BC,2,58,1,1,1,0
acute,St,BC,3,57,0,0,1,0
acute,St,C,1,45,0,0,0,1
acute,St,C,2,46,0,0,0,1
acute,St,C,3,44,0,0,0,1
acute,St,CC,1,60,0,0,0,1
acute,St,CC,2,61,0,0,0,1
acute,St,CC,3,59,0,0,0,1
acute,St,D,1,48,0,1,0,0
acute,St,D,2,49,0,1,0,0
acute,St,D,3,47,0,1,0,0
acute,St,DC,1,64,0,1,0,0
acute,St,DC,2,63,0,1,0,0
acute,St,DC,3,62,0,1,0,0
