experiment,cultivar,heat_trt,plot_id,source_row,missing_overview,missing_files,temp_model_usable
longterm,MQ,OTC,9,20,0,0,1
longterm,MQ,OTC,10,13,0,0,1
longterm,MQ,OTC,11,18,0,0,1
longterm,MQ,OTC,12,19,0,0,1
longterm,MQ,Control,13,16,0,0,1
longterm,MQ,Control,14,17,0,0,1
longterm,MQ,Control,15,14,0,0,1
longterm,MQ,Control,16,15,0,0,1
longterm,St,OTC,1,10,0,0,1
longterm,St,OTC,2,5,0,0,1
longterm,St,OTC,3,8,1,0,0
longterm,St,OTC,4,11,0,0,1
longterm,St,Control,5,12,0,0,1
longterm,St,Control,6,9,0,0,1
longterm,St,Control,7,6,0,0,1
longterm,St,Control,8,7,0,0,1
